Kind,ICAO,FAA,IATA,City,Name,Latitude,Longitude,Max Runway,Airlines
Small,YORA,,,,Moonerah Airport,-31.689(S),126.586(E),,
Small,YKAL,,UBU,,Kalumburu Airport,-14.288(S),126.632(E),,
Small,YLOU,,,,Louisa Downs Airport,-18.717(S),126.717(E),,
Small,YMGR,,MGV,,Margaret River (Station) Airport,-18.622(S),126.883(E),,
Small,YTAB,,TBL,,Tableland Homestead Airport,-17.283(S),126.900(E),,
Small,YLGN,,,,Loongana Airport,-30.950(S),127.033(E),,
Small,YMAD,,,,Madura Airport,-31.883(S),127.033(E),,
Small,YTJU,,,,Tjuntjuntjarra Airport,-29.358(S),127.128(E),,
Small,YFWY,,,,Faraway Bay Airport,-13.981(S),127.181(E),,
Small,YBDF,,BDW,,Bedford Downs Airport,-17.287(S),127.463(E),,
Small,YBIL,,BIW,,Billiluna Airport,-19.567(S),127.667(E),,
Medium,YHLC,,HCQ,,HALLS CREEK,-18.234(S),127.670(E),4839 ft,1
Small,YJAM,,,,Jameson Airport,-25.850(S),127.683(E),,
Small,YYGG,,,,Yagga Yagga Airport,-20.891(S),127.949(E),,
Small,YEQO,,,,El Questro Airport,-16.008(S),127.975(E),,
Small,YYAG,,,,Yagga Yagga Airport,-20.967(S),128.083(E),,
Medium,YFRT,,FOS,,FORREST,-30.838(S),128.115(E),4984 ft,
Small,YWYM,,WYN,,WYNDHAM,-15.511(S),128.153(E),5272 ft,
Small,YMDT,,,,Mundrabilla Motel Airport,-31.827(S),128.230(E),,
Small,YBSR,,,,Blackstone Airport,-25.987(S),128.288(E),,
Small,YFLO,,FVL,,Flora Valley Airport,-18.283(S),128.417(E),,
Small,YARG,,GYL,,ARGYLE,-16.637(S),128.451(E),7546 ft,
Small,YRSK,,,,Ringer Soak Airport,-18.789(S),128.624(E),,
Small,YJUK,,,,Tjukurla Airport,-24.371(S),128.739(E),,
Small,YECL,,EUC,,Eucla Airport,-31.700(S),128.883(E),,
Small,YNIC,,NLS,,Nicholson Airport,-18.050(S),128.900(E),,
Small,YWNL,,,,Wingellina Airport,-26.067(S),128.950(E),,
Small,YDVR,,DKV,,Docker River Airport,-24.860(S),129.070(E),,
Small,YWCM,,,,Wilson's Camp Airport,-20.101(S),129.126(E),,
Small,YMDV,,,,Mount Davies Airport,-26.167(S),129.133(E),,
Small,YNES,,,,Nelson Springs Airport,-17.300(S),129.283(E),,
Small,YWTL,,WLO,,Waterloo Airport,-16.630(S),129.320(E),,
Small,YKNT,,,,Kintore Airport,-23.265(S),129.387(E),,
Small,YLGU,,,,Legune Airport,-15.217(S),129.448(E),,
Small,YBDU,,,,Birrindudu Airport,-18.383(S),129.483(E),,
Small,YHGS,,,,Hughes Siding Airport,-30.717(S),129.515(E),,
Medium,YPKT,,PKT,,PORT KEATS,-14.250(S),129.529(E),4626 ft,1
Small,YKIL,,,,Kildurk Airport,-16.432(S),129.615(E),,
Small,YTMN,,,,Tanami Airport,-19.917(S),129.725(E),,
Small,YTAN,,,,Tanami Downs Airport,-20.574(S),129.740(E),,
Small,YBVY,,,,Bullo River Valley Airport,-15.467(S),129.767(E),,
Small,YPUA,,,,Palumpa Airport,-14.333(S),129.867(E),,
Small,YLSY,,,,Mount Lindsay Airport,-27.018(S),129.885(E),,
Small,YSUJ,,,,Supplejack Downs Airport,-19.267(S),129.950(E),,
Small,YAUV,,AVG,,Auvergne Airport,-15.700(S),130.000(E),,
Small,YRBT,,,,Rabbit Flat Airport,-20.183(S),130.017(E),,
Small,YRVE,,,,Riveren Airport,-17.900(S),130.217(E),,
Small,YNYP,,,,Nypari Airport,-26.200(S),130.233(E),,
Small,YTGT,,,,The Granites Airport,-20.548(S),130.347(E),,3
Small,YANJ,,,,Angatja Airport,-26.100(S),130.400(E),,
Small,YOOK,,,,Cook Airport,-30.618(S),130.406(E),,
Medium,YGPT,,GPN,,GARDEN POINT,-11.402(S),130.422(E),4314 ft,1
Small,YTBR,,TBK,,Timber Creek Airport,-15.620(S),130.445(E),,
Small,YMSF,,MTD,,Mount Sanford Station Airport,-16.978(S),130.555(E),,
Small,YNRR,,,,Nyrripi Airport,-22.645(S),130.565(E),,
Medium,YBTI,,BRT,,BATHURST ISLAND,-11.769(S),130.620(E),4823 ft,1
Small,YHBR,,HUB,,Humbert River Airport,-16.490(S),130.630(E),,
Medium,YSNB,,SNB,,SNAKE BAY,-11.423(S),130.654(E),4734 ft,1
Small,YDLV,,DLV,,Delissaville Airport,-12.550(S),130.685(E),,
Small,YDMN,,DVR,,Daly River Airport,-13.750(S),130.694(E),,
Small,YKKG,,KFG,,KALKGURUNG,-17.432(S),130.808(E),4101 ft,
Small,YOKV,,,,Oak Valley Airport,-29.517(S),130.867(E),,
Small,YVNS,,,,Vaughan Springs Airport,-22.333(S),130.867(E),,
Small,YAAL,,,,Yarralin Airport,-16.445(S),130.881(E),,
Small,YNUB,,NUR,,Nullabor Motel Airport,-31.442(S),130.902(E),,
Small,YPME,,,,Palmer Airport,-12.833(S),130.933(E),,
Small,YKDM,,,,Kidman Springs Airport,-16.117(S),130.953(E),,
Small,YVRD,,VCD,,Victoria River Downs Airport,-16.402(S),131.005(E),,
Small,YBCR,,,,Batchelor Airport,-13.067(S),131.033(E),,
Small,YMKT,,,,Emkaytee (Unlic) Airport,-12.617(S),131.050(E),,
Small,YWAV,,WAV,,Wave Hill Airport,-17.393(S),131.118(E),,
Small,YNHV,,,,New Haven Airport,-22.728(S),131.145(E),,
Small,YAMT,,AMT,,Amata Airport,-26.108(S),131.207(E),,
Small,YPGH,,,,Pigeon Hole Airport,-16.810(S),131.219(E),,
Small,YLBG,,,,Mount Liebig Airport,-23.243(S),131.260(E),,
Small,YISV,,,,Innesvale Airport,-15.383(S),131.267(E),,
Small,YCFD,,CFI,,Camfield Airport,-17.022(S),131.327(E),,
Small,YOOO,,,,Mooloola Homestead Airport,-16.333(S),131.500(E),,
Small,YMEI,,,,Mereenie Airport,-23.977(S),131.562(E),,
Small,YMRA,,,,Maralinga Airport,-30.163(S),131.625(E),,
Small,YDMR,,,,Delamere Station Airport,-15.620(S),131.637(E),,
Small,YKLE,,,,Killarney Airport,-16.250(S),131.747(E),,
